SEZ2011,MURATURA PORTANTE,CALCESTRUZZO ARMATO,"MATERIALE (LEGNO, ACCIAIO�)",PRIMA 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2005,DOPO 2005,EDIFICI RES. STATO OTTIMO,EDIFICI RES. STATO BUONO,EDIFICI RES. STATO MEDIOCRE,EDIFICI RES. STATO PESSIMO
151460001428.0000000,5,2,0,4,1,0,2,0,0,0,0,0,6,1,0,0
151460001429.0000000,7,4,0,7,0,0,4,0,0,0,0,0,8,3,0,0
151460001430.0000000,4,4,0,3,1,0,4,0,0,0,0,0,4,3,1,0
151460001431.0000000,5,1,0,1,4,0,0,1,0,0,0,0,2,4,0,0
151460001432.0000000,10,1,0,7,3,1,0,0,0,0,0,0,9,2,0,0
151460001433.0000000,9,3,0,9,0,1,0,1,0,1,0,0,12,0,0,0
151460001434.0000000,6,4,0,3,3,4,0,0,0,0,0,0,5,5,0,0
151460001435.0000000,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
151460001436.0000000,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0
151460001437.0000000,7,1,0,1,6,1,0,0,0,0,0,0,8,0,0,0
151460001438.0000000,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
151460001439.0000000,7,0,0,7,0,0,0,0,0,0,0,0,6,1,0,0
151460001440.0000000,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
151460001441.0000000,7,1,0,6,1,0,1,0,0,0,0,0,6,2,0,0
151460001442.0000000,6,1,0,3,3,0,1,0,0,0,0,0,7,0,0,0
151460001443.0000000,4,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0
151460001444.0000000,6,0,1,0,6,1,0,0,0,0,0,0,2,3,2,0
151460001445.0000000,4,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0
151460001446.0000000,10,0,0,2,8,0,0,0,0,0,0,0,2,4,4,0
151460001447.0000000,5,0,1,0,5,1,0,0,0,0,0,0,1,4,1,0
151460001448.0000000,6,1,0,0,6,1,0,0,0,0,0,0,4,3,0,0
151460001449.0000000,12,3,0,9,1,3,2,0,0,0,0,0,12,3,0,0
151460001450.0000000,10,1,0,10,0,0,1,0,0,0,0,0,11,0,0,0
151460001451.0000000,5,1,0,4,1,1,0,0,0,0,0,0,6,0,0,0
151460001452.0000000,7,0,0,6,1,0,0,0,0,0,0,0,3,4,0,0
151460001453.0000000,4,4,0,0,3,3,2,0,0,0,0,0,5,3,0,0
151460001454.0000000,1,3,3,0,0,6,0,1,0,0,0,0,5,2,0,0
151460001455.0000000,0,14,0,0,1,12,1,0,0,0,0,0,1,13,0,0
151460001456.0000000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
151460001457.0000000,3,2,0,2,1,0,1,1,0,0,0,0,4,1,0,0
151460001458.0000000,3,6,0,0,3,5,0,1,0,0,0,0,2,7,0,0
151460001459.0000000,1,5,0,1,0,4,0,1,0,0,0,0,5,1,0,0
151460001460.0000000,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
151460001461.0000000,7,0,0,4,3,0,0,0,0,0,0,0,7,0,0,0
151460001462.0000000,5,1,0,2,3,0,1,0,0,0,0,0,6,0,0,0
151460001463.0000000,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
151460001464.0000000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
151460001465.0000000,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
151460001466.0000000,0,4,1,0,0,0,4,0,0,0,0,1,5,0,0,0
151460001467.0000000,5,2,4,1,4,0,5,1,0,0,0,0,1,8,2,0
151460001468.0000000,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0
151460001469.0000000,9,0,6,1,5,7,2,0,0,0,0,0,4,10,1,0
151460001470.0000000,6,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0
151460001471.0000000,0,0,8,0,3,5,0,0,0,0,0,0,0,4,4,0
151460001472.0000000,1,0,13,0,0,11,3,0,0,0,0,0,0,10,4,0
151460001473.0000000,5,0,0,1,4,0,0,0,0,0,0,0,1,3,1,0
151460001474.0000000,7,1,0,6,1,0,1,0,0,0,0,0,3,5,0,0
151460001475.0000000,1,3,6,0,1,7,2,0,0,0,0,0,3,6,1,0
151460001476.0000000,1,0,6,0,6,1,0,0,0,0,0,0,4,3,0,0
151460001477.0000000,5,1,8,1,2,11,0,0,0,0,0,0,6,7,1,0
151460001478.0000000,3,0,5,0,3,3,2,0,0,0,0,0,0,7,1,0
151460001479.0000000,2,0,3,1,1,3,0,0,0,0,0,0,1,3,1,0
151460001480.0000000,7,0,8,0,6,9,0,0,0,0,0,0,3,11,1,0
151460001481.0000000,12,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0
151460001482.0000000,1,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0
151460001483.0000000,6,0,0,5,0,1,0,0,0,0,0,0,4,2,0,0
