SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni,OBJECTID,PRO_COM,SEZ,TIPO_LOC,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis,geometry,P1divSHAPE
151460000011.00000000,12,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,1,0,8.33333333333333,66.6666666666667,25,51552,15146,11,1,3894.47119060000,253.32614785800,17.00000000000,1.00000000000,1,8.3300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.186872,45.463333 9.187496,45.463819 9.188012,45.463464 9.187302,45.46301 9.186872,45.463333</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.3081291249236645
151460000012.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51553,15146,12,1,9340.51875140000,388.84788541500,5.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.185807,45.464058 9.186531,45.464538 9.187496,45.463819 9.186872,45.463333 9.185708,45.463939 9.185807,45.464058</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000014.00000000,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,100,0,51555,15146,14,1,2478.34910772000,210.77724720400,5.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.185198,45.465272 9.185556,45.46531 9.186013,45.464946 9.185514,45.464627 9.185494,45.464668 9.185198,45.465272</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.08069888111283621
151460000015.00000000,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,33.3333333333333,66.6666666666667,51556,15146,15,1,17869.87860580000,578.23045517300,4.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.182655,45.465057 9.183992,45.465179 9.185198,45.465272 9.185494,45.464668 9.184017,45.464372 9.183922,45.464323 9.183239,45.464253 9.182861,45.464483 9.182506,45.464572 9.182655,45.465057</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.016788026747010437
151460000016.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51557,15146,16,1,11423.99949210000,425.89190903700,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.183922,45.464323 9.184017,45.464372 9.185494,45.464668 9.185514,45.464627 9.185807,45.464058 9.185708,45.463939 9.18543,45.463817 9.184081,45.463644 9.183922,45.464323</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000017.00000000,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,60,40,51558,15146,17,1,4176.12601684000,261.99846069100,5.00000000000,1.00000000000,3,60.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.183239,45.464253 9.183922,45.464323 9.184081,45.463644 9.183375,45.463577 9.183239,45.464253</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.11972818779504671
151460000018.00000000,30,0,2,2,1,2,2,1,2,3,2,4,5,2,0,0,2,0,16.6666666666667,76.6666666666667,6.66666666666667,51559,15146,18,1,5224.60998476000,320.01992152800,27.00000000000,1.00000000000,8,26.6700000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.183239,45.464253 9.183375,45.463577 9.183101,45.463702 9.182699,45.463943 9.182274,45.464165 9.182071,45.464274 9.182506,45.464572 9.182861,45.464483 9.183239,45.464253</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.5742055404615641
151460000019.00000000,64,2,6,4,3,4,2,2,7,6,6,4,1,4,4,3,6,3.125,20.3125,56.25,20.3125,51560,15146,19,1,6433.44306524000,352.25131848300,78.00000000000,1.00000000000,15,22.7300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.180952,45.46496 9.18204,45.465045 9.182585,45.465054 9.182655,45.465057 9.182506,45.464572 9.182071,45.464274 9.180952,45.46496</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.9948016847431675
151460000020.00000000,14,0,0,0,1,1,2,0,0,0,0,2,1,2,3,1,1,0,7.14285714285714,57.1428571428571,35.7142857142857,51561,15146,20,1,4617.30758652000,350.73584535400,17.00000000000,1.00000000000,3,21.4300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.180657,45.463948 9.182192,45.464127 9.182254,45.463913 9.181489,45.463882 9.181473,45.463764 9.181377,45.463571 9.181003,45.463409 9.180788,45.463439 9.180689,45.463748 9.180657,45.463948</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.3032070040313603
151460000021.00000000,146,17,5,4,6,9,6,13,15,18,13,7,6,5,5,8,9,11.6438356164384,10.2739726027397,63.013698630137,15.0684931506849,51562,15146,21,1,10797.18922870000,463.95507999600,143.00000000000,1.00000000000,11,7.5900000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.180991,45.465327 9.181655,45.466105 9.181989,45.465964 9.181904,45.465843 9.181957,45.46581 9.181965,45.465749 9.182542,45.465685 9.182585,45.465054 9.18204,45.465045 9.180952,45.46496 9.180722,45.46499 9.180991,45.465327</coordinates></LinearRing></outerBoundaryIs></Polygon>",1.3522037718105147
