weight;lat;lon
30659;45.39905230000001;8.916555299999999
3;45.4127759;8.9019735
36;45.4113271;8.885188899999999
39;45.38492910000001;8.9482391
24;45.3951357;8.8936531
15;45.3673093;8.878456099999999
8;45.3971028;8.9497243
210;45.3775532;8.889414499999999
4126.0;45.4253354;8.9448741
220;45.4007865;8.936787299999999
57;45.4057965;8.9596955
92;45.438724;8.947956
101;45.42948459999999;8.9599306
25;45.42005;8.963875099999999
6497.0;45.5408943;8.8480238
27;45.5415953;8.8297667
19138.0;45.55081149999999;9.0779155
10547.0;45.5056869;8.9410106
827;45.5060182;8.9718696
105;45.521024;8.958791099999999
16;45.51559;8.925091999999999
7934.0;45.4061985;9.1239694
130;45.4018776;9.1456126
60;45.4111157;9.142196
0;45.388681;9.1321145
16791.0;45.478212;8.9963424
45;45.4651708;9.016682099999999
199;45.4715926;9.0134154
3639;45.580442;9.464576299999999
7390;45.35096490000001;9.1645314
174;45.3561332;9.1701883
3;45.344771;9.171595699999999
3783.0;45.5366822;9.4470619
14;45.5267049;9.441909299999999
13;45.53556930000001;9.4532905
1828.0;45.47384599999999;8.809643699999999
1154;45.4925629;8.8289364
89;45.479507;8.8307263
2022;45.3119813;8.9688043
7158.0;45.3317093;9.0996141
4172.0;45.46282710000001;8.8293459
23;45.457439;8.8338132
35470.0;45.5451273;9.1107151
87;45.5539706;9.096795199999999
0;45.5439425;9.098429299999999
25712;45.5391048;9.190392800000001
2215.0;45.3283008;9.00386
210.0;45.4210273;9.119610699999999
130;45.3889308;9.1122102
26163;45.4230437;9.106118799999999
4751.0;45.5498091;8.810046399999999
8532.0;45.5360972;9.371700199999999
13450.0;45.5454499;8.883373599999999
29;45.53075219999999;8.869856799999999
1052;45.3327455;9.020299099999999
130.0;45.3259438;9.0263335
5420.0;45.568261;9.410622199999999
1046;45.5662229;9.3999351
42;45.5634202;9.420567
12438.0;45.5658897;8.9242729
3502.0;45.3468566;9.273529
202.0;45.328922;9.2393619
34;45.3313691;9.292806499999999
205;45.3292379;9.273479799999999
106;45.3497389;9.2817378
45;45.3466715;9.264277699999999
18;45.3588843;9.2531117
3;45.3369665;9.245972499999999
30;45.3443452;9.2861519
26;45.3299754;9.2464184
13674.0;45.5489396;9.339119699999999
321;45.5574792;9.3502677
155;45.5574412;9.329024799999999
25;45.5463098;9.3604068
3828.0;45.3176786;9.1074669
6.0;45.3187733;9.0838076
23;45.3065062;9.123236799999999
16;45.3086436;9.0984224
5329.0;45.5238021;8.902366299999999
26;45.5248558;8.9210633
921;45.5064335;9.531570199999999
17497.0;45.526634;9.514097899999999
110;45.5250393;9.5359742
24;45.50782;9.5168111
11146.0;45.5155164;9.358029799999999
2060;45.51729599999999;9.3912724
1861.0;45.4259035;8.9074454
23;45.4243996;8.9152881
21;45.5382132;8.762135299999999
34;45.5404027;8.7510586
10824.0;45.5545769;8.7772349
85;45.55513029999999;8.795040199999999
26;45.5421242;8.722852099999999
29261.0;45.5249795;9.332959499999999
1115;45.5275446;9.358241500000002
80;45.5216521;9.3068562
58;45.53902799999999;9.348013199999999
46;45.5276602;9.3042575
77;45.53191;9.3140579
33;45.5163249;9.312288499999999
21;45.5333718;9.348732699999999
6;45.5415404;9.3385006
2404.0;45.3309718;9.341593099999999
2505;45.3432852;9.3248014
13;45.3210177;9.346830199999999
21;45.32869590000001;9.3326323
13;45.334063;9.3249435
2667;45.5780149;8.979896999999999
12068.0;45.5952619;8.952898299999999
23398.0;45.4456509;9.0905963
13775.0;45.5909919;9.0782182
64;45.6040165;9.064151899999999
19;45.60424099999999;9.0762543
71109;45.5528659;9.2211573
19;45.5583553;9.2143838
401;45.4299962;9.0041821
3693.0;45.4411725;8.9846205
67;45.4514274;8.973471999999999
68;45.4320721;8.991883099999999
12;45.4600221;8.975001199999999
22;45.4476013;8.995999899999999
45786;45.528603;9.278707499999999
692;45.3827313;9.3572589
1052.0;45.3802113;9.3406536
208;45.38180759999999;9.349378699999999
1346;45.4463708;8.9261648
14245.0;45.46956520000001;8.9189319
457;45.461116;8.9341858
800;45.4434066;8.900477199999999
8;45.4848034;8.935348899999999
81;45.4593341;8.9253517
43;45.4805826;8.922974199999999
76;45.4544472;8.908257499999999
103;45.4503822;8.9241683
238;45.479107;8.9360932
36;45.4547786;8.9380369
27;45.4532547;8.949866499999999
19857.0;45.5479756;9.160443799999999
87;45.5453915;9.1499705
20121.0;45.5015276;9.023928399999999
33669;45.4323397;9.109232199999999
8142.0;45.5063763;8.8152165
2379;45.4480581;9.0339584
891;45.4588884;9.0417466
278.0;45.446842;9.0328064
30;45.4413186;9.0314128
19;45.4417509;9.0185002
18905.0;45.55343;9.184458299999999
5862.0;45.5663404;8.8660332
3023.0;45.3726442;9.361903
89;45.3841474;9.039146799999999
58;45.41759829999999;8.995924
6970.0;45.4053085;9.041970299999999
843;45.4169902;9.012070300000001
850;45.3790925;9.0236947
46;45.4054145;8.998285299999999
12;45.4094019;8.9778349
22;45.3845801;9.022646199999999
8;45.392761;9.025713
10;45.39168950000001;9.0294025
20;45.3736061;9.0258436
5;45.4056754;9.0099508
184;45.5867424;9.0681134
26078.0;45.5765932;9.074162399999999
8489.0;45.5565542;9.4348624
84;45.5567731;9.420010899999999
17;45.550765;9.4189335
15;45.5434961;9.4348478
33;45.5568626;9.409959499999999
26;45.5606138;9.4185357
19091.0;45.5307573;9.4054483
5;45.5403872;9.398821399999999
256;45.5229537;9.428021899999999
31;45.5428553;9.4210732
19;45.54148;9.4125552
2842.0;45.5903246;9.493892599999999
1711.0;45.37479270000001;9.0006617
1187;45.5146294;8.8825974
7422.0;45.5175743;8.8579586
0;45.5139325;8.852153699999999
2888.0;45.5626928;9.492527599999999
8996.0;45.5389331;9.477150499999999
1319;45.52911390000001;9.466538399999999
54;45.5515889;9.450190899999999
25;45.5288034;9.488072499999999
299;45.3060842;9.164119699999999
7522.0;45.3191176;9.1484668
210;45.3130797;9.1534108
119;45.3206735;9.1886431
179;45.320377;9.190489999999999
16;45.311795;9.134706699999999
24;45.3320002;9.1345274
21;45.30286539999999;9.1776249
25054.0;45.5709318;9.0257547
0;45.56524690000001;9.0458733
57589;45.5983403;8.914248499999999
32;45.5900043;8.8792028
26;45.590063;8.903825299999999
3902.0;45.4830423;9.4092205
122;45.48318990000001;9.389772899999999
13;45.4830523;9.421010799999999
13;45.4712364;9.406837899999999
9037.0;45.355619;9.224085799999999
193;45.3602822;9.2030935
142;45.3706465;9.217709299999999
12;45.3434372;9.2337398
25;45.3640176;9.240979099999999
15;45.3362718;9.2326803
36;45.3558777;9.214395099999999
22828.0;45.4655261;8.885021099999999
3;45.4594539;8.863170999999999
34;45.4661052;8.8596416
12;45.4508524;8.8973646
9085.0;45.57854649999999;8.807363400000002
1226;45.4879925;8.8718963
4766.0;45.4820891;8.8715005
40;45.4846048;8.860165799999999
3295;45.56606790000001;9.465656599999999
17;45.5573021;9.4747056
656;45.4000896;9.3457898
2068.0;45.3951684;9.3328296
3435;45.4210243;9.3663148
976;45.4184902;9.3103981
333;45.4170562;9.3496896
1153;45.3998064;9.3226911
3266;45.4328897;9.344691599999999
45;45.393699;9.348922999999999
37;45.4273051;9.3737692
42;45.412558;9.339229099999999
8;45.3903597;9.319232999999999
26;45.3874116;9.358693199999999
35;45.4119494;9.3270509
0;45.353835;9.336533099999999
16723.0;45.3563017;9.321463
51;45.34994640000001;9.3063413
18091.0;45.5031581;9.4220875
112;45.4862043;9.4304591
3889.0;45.5011399;8.8576988
20;45.4892181;8.835199099999999
0;45.4675821;9.192521599999999
1031;45.4165228;9.240252099999999
35;45.4278766;9.1806596
1580;45.4925633;9.077148899999999
16;45.4588001;9.048401
1238173.0;45.4642035;9.189982000000001
740;45.4020163;9.18196
52;45.4428895;9.0638281
304;45.41843979999999;9.1579914
157;45.4292145;9.215116399999999
23;45.4190468;9.194523799999999
12;45.4161531;9.1863183
366;45.3697408;8.954933199999999
159;45.3219454;8.967173599999999
504.0;45.35525550000001;8.9550831
22;45.3340551;8.9626853
15;45.3505435;8.933807399999999
13;45.33131179999999;8.939484
21;45.3399235;8.978469
32;45.3466698;8.9652639
3;45.35092299999999;8.944032099999999
8;45.3327209;8.990995699999999
14;45.3541406;8.972668199999999
7;45.3610152;8.975562099999999
19;45.3212816;8.9448031
7601;45.2874159;8.993169
17089.0;45.5550705;8.985815199999999
669.0;45.5515219;8.725906499999999
20;45.5431533;8.7229872
128;45.5446167;9.1429779
19810.0;45.5317964;9.1397222
795;45.35689;9.0700942
2274.0;45.3589704;9.051171200000001
1098;45.33943910000001;9.086937299999999
60;45.3737054;9.0578219
10;45.3624792;9.0838094
32;45.37854000000001;9.193398199999999
1680;45.3957632;9.213555299999999
11484.0;45.374713;9.212012999999999
30;45.3851282;9.207153099999999
4134.0;45.5057043;8.9010202
1360.0;45.36557699999999;8.923938099999999
75;45.3573476;8.908693099999999
32;45.3751496;8.9382126
46390.0;45.57116180000001;9.1639813
15;45.5909175;9.169945499999999
36;45.5775114;9.1922681
89;45.5800199;9.172267699999999
21;45.589535;9.163109499999999
11;45.5622101;9.190235999999999
5817;45.4394834;9.353228
11;45.44405949999999;9.3567622
13;45.4396389;9.356399999999999
26617.0;45.5493675;8.9375245
10960.0;45.41678839999999;9.408093899999999
54;45.4327748;9.409307
10291.0;45.5101398;9.084679999999999
13761;45.4315866;9.309989999999999
1080;45.4451354;9.2720947
3035;45.4448399;9.294177699999999
3963;45.4642014;9.3134391
106;45.4621367;9.302866999999999
174;45.4028429;9.2764664
12;45.4371764;9.3221407
106.0;45.43581529999999;9.303493399999999
17;45.449986;9.320767
241;45.5502873;9.3581489
8597.0;45.5516006;9.388222600000001
38;45.549602;9.4042548
92;45.5561655;9.3716227
34;45.5545585;9.401865799999999
34;45.5472805;9.407149799999999
28;45.5482906;9.409316799999999
3044;45.3719587;9.1888504
11824.0;45.3482231;9.198460799999999
34256.0;45.489622;9.326118599999999
375;45.4841667;9.309358099999999
435;45.47191;9.31621
8057;45.53889359999999;8.9955862
15;45.5661903;8.986847599999999
69;45.53816279999999;8.9891863
2925.0;45.575929;9.500766900000002
74;45.4992779;9.458454
5110.0;45.51345449999999;9.4517284
2704;45.5132416;9.477524200000001
27;45.5132315;9.4698549
24;45.52820699999999;9.4506555
24;45.5194805;9.4358428
20;45.5274052;9.460285799999999
20;45.5051499;9.008507699999999
6772.0;45.51828039999999;9.0129907
62;45.5222865;9.020846599999999
