OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
51565,15146,24,1,151460000024,6085.18668092,399.882205245,131,1,5,4.31
51568,15146,27,1,151460000027,7602.71643361,352.466083627,0,1,0,0
51572,15146,31,1,151460000031,10272.7701176,457.910228288,0,1,0,0
51579,15146,38,1,151460000038,15117.4779885,579.572421207,30,1,1,5
51589,15146,49,1,151460000049,4695.54930616,299.389181383,1,1,0,0
51594,15146,54,1,151460000054,11127.0223764,413.811336928,17,1,1,5.88
51596,15146,56,1,151460000056,9868.2977646,429.104007299,3,1,2,33.33
51597,15146,58,1,151460000058,26059.4879201,815.95186323,47,1,3,9.38
51614,15146,75,1,151460000075,18103.509248,591.556324564,57,1,9,16.36
51694,15146,182,1,151460000182,3568.35420372,240.270752773,5,1,0,0
51706,15146,194,1,151460000194,5287.31165479,351.828814242,10,1,0,0
51716,15146,204,1,151460000204,21249.001886,670.219382009,150,1,5,3.57
51729,15146,218,1,151460000218,3034.83308268,213.403870087,0,1,0,0
51745,15146,284,1,151460000284,9655.76883424,507.293844146,247,1,9,4.76
54619,15146,1,1,151460000001,39714.2030487,998.668747363,15,1,2,14.29
49006,15146,232,1,151460000232,5681.0753921,313.721784895,183,1,12,6.7
49022,15146,248,1,151460000248,6386.97686068,403.104494606,0,1,0,0
50658,15146,252,1,151460000252,19476.2759492,583.86404035,287,1,38,13.57
50662,15146,256,1,151460000256,3838.85661186,250.441714743,9,1,2,14.29
50676,15146,271,1,151460000271,68525.5941818,1175.83214654,136,1,20,15.38
50679,15146,274,1,151460000274,6622.36479652,345.807986391,4,1,0,0
51552,15146,11,1,151460000011,3894.4711906,253.326147858,17,1,1,8.33
51553,15146,12,1,151460000012,9340.5187514,388.847885415,5,1,0,0
51573,15146,32,1,151460000032,16381.2044383,657.117544236,78,1,4,5.88
51580,15146,40,1,151460000040,2827.26710268,221.162700758,0,1,0,0
51592,15146,52,1,151460000052,2259.96173732,194.250995081,0,1,0,0
51610,15146,71,1,151460000071,5051.0229608,322.942926045,16,1,4,19.05
51613,15146,74,1,151460000074,37193.911719,797.377891254,152,1,18,13.53
51621,15146,82,1,151460000082,16321.9622002,699.711599815,77,1,6,11.76
51624,15146,85,1,151460000085,20397.2262133,561.826046306,3,1,0,0
51684,15146,146,1,151460000146,8566.49555984,743.456014254,83,1,17,22.97
51722,15146,210,1,151460000210,9389.103646,472.113988723,185,1,8,4.49
51728,15146,217,1,151460000217,7606.23443492,355.288127307,168,1,16,10.26
51741,15146,280,1,151460000280,3174.12243276,255.075244409,52,1,5,9.62
51746,15146,285,1,151460000285,17663.8643862,716.004114714,439,1,22,5.79
51749,15146,288,1,151460000288,4521.00610768,314.27780055,50,1,0,0
54620,15146,39,1,151460000039,6038.73888528,448.626950656,0,1,0,0
49001,15146,226,1,151460000226,6189.54979935,313.888709125,122,1,12,11.21
49002,15146,227,1,151460000227,6601.14817052,344.529498963,65,1,1,2.08
49003,15146,228,1,151460000228,6440.01029628,432.017190819,112,1,10,9.52
49004,15146,230,1,151460000230,6074.18739792,382.363195347,112,1,15,14.71
49017,15146,243,1,151460000243,3756.99544108,254.371840823,33,1,0,0
49020,15146,246,1,151460000246,6207.6003384,321.102684484,3,1,0,0
49021,15146,247,1,151460000247,9002.3325424,417.544598015,3,1,0,0
49243,15146,153,1,151460000153,3366.50912678,293.252448006,36,1,10,25
49260,15146,171,1,151460000171,62292.5965377,1172.63090886,145,1,25,17.48
50656,15146,250,1,151460000250,8374.44423967,392.947888504,144,1,13,10.32
50668,15146,262,1,151460000262,8703.08736492,375.391622638,58,1,3,5.56
50672,15146,267,1,151460000267,24044.3619103,705.446220958,363,1,27,7.92
50677,15146,272,1,151460000272,49975.918023,1115.33988207,475,1,55,11.63
51543,15146,2,1,151460000002,3412.3677647,294.576783483,21,1,8,32
51547,15146,6,1,151460000006,5161.53251602,322.595261743,7,1,0,0
51548,15146,7,1,151460000007,5446.54259952,323.223647055,9,1,4,50
51549,15146,8,1,151460000008,1924.21031878,211.527441527,4,1,0,0
51554,15146,13,1,151460000013,4002.58106784,258.544583502,0,1,0,0
