SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni
151460000078,111,4,6,4,7,3,3,4,7,8,7,7,6,6,10,9,20,3.6036036036036,15.3153153153153,45.945945945946,35.1351351351351
151460000079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
151460000080,63,1,1,3,2,1,3,3,3,6,4,4,4,6,4,7,11,1.58730158730159,9.52380952380952,53.968253968254,34.9206349206349
151460000081,97,4,6,3,6,2,4,7,4,6,15,8,2,5,4,9,12,4.12371134020619,15.4639175257732,54.639175257732,25.7731958762887
151460000082,53,5,3,1,2,1,2,1,2,5,3,5,3,6,7,2,5,9.43396226415094,11.3207547169811,52.8301886792453,26.4150943396226
151460000083,313,6,18,14,17,14,20,16,19,21,23,29,28,22,17,18,31,1.91693290734824,15.6549520766773,61.3418530351438,21.0862619808307
151460000084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000085,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,100,0
151460000086,26,2,0,2,2,3,1,2,4,1,3,2,2,0,0,0,2,7.69230769230769,15.3846153846154,69.2307692307692,7.69230769230769
151460000087,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50,50
151460000088,61,3,1,2,3,2,6,5,5,5,6,7,7,3,1,1,4,4.91803278688525,9.83606557377049,75.4098360655738,9.83606557377049
151460000089,47,2,0,0,1,1,6,7,4,4,2,7,3,3,1,0,6,4.25531914893617,2.12765957446808,78.7234042553192,14.8936170212766
151460000090,13,2,1,0,0,1,2,0,0,1,2,2,1,1,0,0,0,15.3846153846154,7.69230769230769,76.9230769230769,0
151460000091,65,3,4,3,1,1,1,4,1,6,14,4,2,6,4,5,6,4.61538461538462,12.3076923076923,60,23.0769230769231
151460000092,81,6,7,3,3,0,0,8,8,9,5,9,6,4,3,6,4,7.40740740740741,16.0493827160494,60.4938271604938,16.0493827160494
151460000093,131,4,4,5,3,7,8,9,6,12,12,7,10,9,8,4,23,3.05343511450382,9.16030534351145,61.0687022900763,26.7175572519084
151460000094,62,1,2,3,1,3,1,4,4,1,6,5,9,9,4,6,3,1.61290322580645,9.67741935483871,67.741935483871,20.9677419354839
151460000095,44,5,0,2,1,1,2,0,5,7,0,5,4,1,3,1,7,11.3636363636364,6.81818181818182,56.8181818181818,25
151460000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000097,19,0,1,0,1,0,1,1,0,2,2,2,1,0,0,4,4,0,10.5263157894737,47.3684210526316,42.1052631578947
151460000098,25,1,1,0,0,1,2,2,4,2,3,4,1,1,1,0,2,4,4,80,12
151460000099,35,0,3,2,0,0,0,3,3,4,2,3,0,4,2,2,7,0,14.2857142857143,54.2857142857143,31.4285714285714
151460000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000101,98,5,4,4,7,5,3,4,4,6,13,8,6,8,9,2,10,5.10204081632653,15.3061224489796,58.1632653061225,21.4285714285714
151460000102,348,15,17,8,15,15,20,12,25,24,28,36,22,26,31,27,27,4.31034482758621,11.4942528735632,59.7701149425287,24.4252873563218
151460000103,77,5,5,4,5,2,0,6,7,4,4,7,5,4,4,7,8,6.49350649350649,18.1818181818182,50.6493506493506,24.6753246753247
151460000104,67,2,0,3,4,5,6,3,1,1,3,7,5,4,1,9,13,2.98507462686567,10.4477611940299,52.2388059701493,34.3283582089552
151460000105,71,2,2,1,2,2,5,2,3,5,6,10,5,2,7,7,10,2.8169014084507,7.04225352112676,56.3380281690141,33.8028169014084
151460000106,108,4,6,7,4,5,6,5,3,12,8,9,10,5,6,5,13,3.7037037037037,15.7407407407407,58.3333333333333,22.2222222222222
151460000107,87,3,2,3,7,4,5,3,5,5,8,11,9,7,6,3,6,3.44827586206897,13.7931034482759,65.5172413793104,17.2413793103448
151460000108,107,6,2,3,5,2,2,4,5,6,9,10,8,14,6,7,18,5.60747663551402,9.34579439252336,56.0747663551402,28.9719626168224
151460000109,53,3,1,3,2,2,0,1,3,4,5,5,1,4,8,2,9,5.66037735849057,11.3207547169811,47.1698113207547,35.8490566037736
151460000110,99,5,4,3,4,3,2,4,10,6,9,6,7,9,8,12,7,5.05050505050505,11.1111111111111,56.5656565656566,27.2727272727273
151460000111,32,3,2,0,0,1,2,8,2,2,7,2,0,2,1,0,0,9.375,6.25,81.25,3.125
151460000112,12,0,0,0,1,2,0,0,0,0,2,2,0,2,1,0,2,0,8.33333333333333,66.6666666666667,25
151460000113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100
151460000114,273,15,8,9,11,19,12,15,22,25,24,18,17,20,16,19,23,5.49450549450549,10.2564102564103,63.003663003663,21.2454212454212
151460000115,157,14,10,2,5,5,6,7,14,18,13,10,10,14,9,3,17,8.9171974522293,10.828025477707,61.7834394904459,18.4713375796178
151460000116,123,3,2,1,3,6,10,10,10,16,10,7,8,9,7,9,12,2.4390243902439,4.87804878048781,69.9186991869919,22.7642276422764
151460000117,76,3,3,2,4,8,5,5,10,3,6,9,7,6,2,0,3,3.94736842105263,11.8421052631579,77.6315789473684,6.57894736842105
151460000118,107,14,3,6,6,3,9,10,12,8,8,9,5,3,7,3,1,13.0841121495327,14.018691588785,62.6168224299065,10.2803738317757
151460000119,69,6,2,0,5,4,3,4,5,7,3,6,6,6,4,1,7,8.69565217391304,10.1449275362319,63.768115942029,17.3913043478261
151460000120,58,3,6,5,0,0,4,0,3,6,6,6,0,4,3,4,8,5.17241379310345,18.9655172413793,50,25.8620689655172
151460000121,73,7,3,1,3,4,2,2,6,8,3,7,6,5,3,2,11,9.58904109589041,9.58904109589041,58.9041095890411,21.9178082191781
151460000122,112,1,10,4,4,2,3,12,7,11,11,6,9,5,5,2,20,0.892857142857143,16.0714285714286,58.9285714285714,24.1071428571429
151460000123,137,13,6,3,11,8,3,11,11,11,15,11,8,8,8,2,8,9.48905109489051,14.5985401459854,62.7737226277372,13.1386861313869
151460000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000125,206,11,18,12,11,10,7,8,17,18,19,16,15,9,10,7,18,5.33980582524272,19.9029126213592,57.7669902912621,16.9902912621359
151460000126,160,12,7,5,6,8,4,11,10,15,16,10,13,10,16,5,12,7.5,11.25,60.625,20.625
151460000127,22,0,3,0,0,1,0,2,1,2,3,1,5,2,1,0,1,0,13.6363636363636,77.2727272727273,9.09090909090909
151460000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000129,33,2,0,0,1,1,1,2,3,6,2,2,3,2,3,3,2,6.06060606060606,3.03030303030303,66.6666666666667,24.2424242424242
151460000130,80,1,2,3,1,3,3,5,7,8,5,1,5,5,9,10,12,1.25,7.5,52.5,38.75
151460000131,201,10,8,11,13,9,7,11,20,17,19,18,11,10,12,5,20,4.97512437810945,15.9203980099503,60.6965174129353,18.407960199005
151460000132,88,6,5,2,2,3,3,7,10,5,6,6,6,6,6,7,8,6.81818181818182,10.2272727272727,59.0909090909091,23.8636363636364
151460000133,105,8,5,5,5,5,6,8,7,11,11,11,10,2,2,3,6,7.61904761904762,14.2857142857143,67.6190476190476,10.4761904761905
151460000134,237,4,13,12,7,13,2,13,12,28,11,15,18,14,19,20,36,1.68776371308017,13.5021097046414,53.1645569620253,31.6455696202532
151460000135,97,1,2,6,5,3,2,10,7,9,7,8,9,10,9,0,9,1.03092783505155,13.4020618556701,67.0103092783505,18.5567010309278
151460000136,42,2,0,1,1,0,2,4,5,0,7,1,3,3,1,5,7,4.76190476190476,4.76190476190476,59.5238095238095,30.952380952381
151460000137,82,2,2,4,4,4,7,6,2,6,9,11,8,5,5,1,6,2.4390243902439,12.1951219512195,70.7317073170732,14.6341463414634
151460000138,122,3,8,6,6,5,0,7,11,7,13,8,3,16,6,12,11,2.45901639344262,16.3934426229508,57.3770491803279,23.7704918032787
151460000139,33,1,0,0,2,0,0,4,1,0,5,1,3,2,2,6,6,3.03030303030303,6.06060606060606,48.4848484848485,42.4242424242424
151460000140,85,1,5,3,6,12,0,1,6,6,4,10,13,5,2,3,8,1.17647058823529,16.4705882352941,67.0588235294118,15.2941176470588
151460000141,45,4,0,1,2,1,2,2,4,2,3,5,2,5,4,3,5,8.88888888888889,6.66666666666667,57.7777777777778,26.6666666666667
151460000142,51,3,3,4,2,5,1,1,2,4,8,0,2,4,1,3,8,5.88235294117647,17.6470588235294,52.9411764705882,23.5294117647059
151460000143,55,3,3,3,6,1,1,1,2,8,8,5,1,1,3,2,7,5.45454545454545,21.8181818181818,50.9090909090909,21.8181818181818
151460000144,8,0,0,0,0,0,0,2,0,0,0,1,2,1,0,1,1,0,0,75,25
151460000145,117,2,7,6,8,8,8,4,3,5,12,12,12,3,7,6,14,1.70940170940171,17.948717948718,57.2649572649573,23.0769230769231
151460000146,73,3,3,4,8,0,1,1,2,9,13,2,5,3,1,1,17,4.10958904109589,20.5479452054794,49.3150684931507,26.027397260274
151460000147,91,3,6,6,1,3,2,8,11,3,10,2,3,4,7,8,14,3.2967032967033,14.2857142857143,50.5494505494506,31.8681318681319
151460000148,7,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,100,0
151460000149,151,3,8,6,8,11,3,5,9,8,19,10,5,12,17,13,14,1.98675496688742,14.5695364238411,54.3046357615894,29.1390728476821
151460000150,14,2,1,0,1,0,1,0,1,1,3,0,1,0,0,1,2,14.2857142857143,14.2857142857143,50,21.4285714285714
151460000151,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,75,25
151460000152,100,7,4,4,8,7,2,6,5,11,6,10,7,6,5,5,7,7,16,60,17
151460000153,40,3,6,1,0,0,2,3,5,3,3,1,0,4,2,3,4,7.5,17.5,52.5,22.5
151460000154,31,1,1,0,0,0,0,2,4,2,1,7,0,3,1,4,5,3.2258064516129,3.2258064516129,61.2903225806452,32.258064516129
151460000155,125,4,3,9,2,4,4,7,7,13,9,8,9,9,9,9,19,3.2,11.2,56,29.6
151460000156,126,7,6,10,5,1,3,2,11,17,8,7,7,8,12,7,15,5.55555555555556,16.6666666666667,50.7936507936508,26.984126984127
151460000157,67,4,3,1,4,6,1,0,5,4,7,1,6,7,3,7,8,5.97014925373134,11.9402985074627,55.2238805970149,26.865671641791
151460000158,102,1,6,7,6,5,1,9,7,9,6,4,6,8,4,7,16,0.980392156862745,18.6274509803922,53.921568627451,26.4705882352941
151460000159,62,3,2,0,4,2,2,5,3,6,7,4,4,5,5,3,7,4.83870967741936,9.67741935483871,61.2903225806452,24.1935483870968
151460000160,11,1,0,0,0,0,0,2,3,0,0,0,0,3,1,0,1,9.09090909090909,0,72.7272727272727,18.1818181818182
151460000161,74,5,3,1,4,2,0,5,3,7,7,3,2,4,4,12,12,6.75675675675676,10.8108108108108,44.5945945945946,37.8378378378378
151460000162,30,0,0,1,4,2,2,3,1,2,4,4,1,3,1,0,2,0,16.6666666666667,73.3333333333333,10
151460000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000164,81,3,4,9,2,5,2,0,9,5,4,6,10,4,5,0,13,3.7037037037037,18.5185185185185,55.5555555555556,22.2222222222222
151460000165,76,1,3,6,9,6,5,2,4,3,10,6,10,3,1,2,5,1.31578947368421,23.6842105263158,64.4736842105263,10.5263157894737
151460000166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000168,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,16.6666666666667,83.3333333333333
151460000169,11,0,0,0,0,0,1,0,3,2,1,2,1,0,0,0,1,0,0,90.9090909090909,9.09090909090909
151460000170,72,0,4,2,5,5,6,4,1,8,3,5,6,4,2,5,12,0,15.2777777777778,58.3333333333333,26.3888888888889
151460000171,141,8,8,2,5,9,7,6,9,18,11,9,10,7,8,10,14,5.67375886524823,10.6382978723404,60.9929078014184,22.6950354609929
151460000172,31,0,2,3,3,1,1,1,0,3,1,2,2,6,4,1,1,0,25.8064516129032,54.8387096774194,19.3548387096774
151460000173,127,1,7,5,6,3,1,6,6,13,12,10,7,11,14,11,14,0.78740157480315,14.1732283464567,54.3307086614173,30.7086614173228
151460000174,174,8,6,7,12,10,4,6,8,12,16,12,15,13,12,9,24,4.59770114942529,14.367816091954,55.1724137931034,25.8620689655172
151460000175,91,7,2,2,2,8,9,8,11,8,5,4,5,6,5,5,4,7.69230769230769,6.59340659340659,70.3296703296703,15.3846153846154
151460000176,127,6,7,5,6,5,6,4,6,10,13,8,8,9,8,12,14,4.7244094488189,14.1732283464567,54.3307086614173,26.7716535433071
151460000177,144,7,3,2,2,5,7,10,14,13,14,13,9,14,6,8,17,4.86111111111111,4.86111111111111,68.75,21.5277777777778
151460000178,53,0,1,0,2,2,3,2,5,4,7,2,4,5,5,6,5,0,5.66037735849057,64.1509433962264,30.188679245283
151460000179,44,4,2,3,2,2,9,7,5,5,2,0,1,0,0,1,1,9.09090909090909,15.9090909090909,70.4545454545455,4.54545454545455
151460000180,31,0,0,0,1,1,2,2,1,5,2,1,4,1,4,2,5,0,3.2258064516129,61.2903225806452,35.4838709677419
151460000181,78,2,4,3,2,3,0,7,7,10,4,7,5,4,5,4,11,2.56410256410256,11.5384615384615,60.2564102564103,25.6410256410256
151460000182,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,25,75
151460000183,24,0,0,1,0,1,1,3,2,0,1,2,0,2,1,1,9,0,4.16666666666667,50,45.8333333333333
151460000184,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,33.3333333333333,66.6666666666667
151460000185,37,0,0,2,2,1,2,1,3,4,1,5,6,1,2,1,6,0,10.8108108108108,64.8648648648649,24.3243243243243
151460000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000187,37,1,2,3,4,1,2,1,1,4,3,4,3,0,1,0,7,2.7027027027027,24.3243243243243,51.3513513513514,21.6216216216216
151460000188,14,0,1,0,1,1,0,2,0,1,1,4,1,0,2,0,0,0,14.2857142857143,71.4285714285714,14.2857142857143
151460000189,26,1,1,1,1,0,1,2,2,1,2,3,3,3,1,1,3,3.84615384615385,11.5384615384615,65.3846153846154,19.2307692307692
151460000190,74,4,5,1,0,3,3,8,7,7,4,1,3,6,8,4,10,5.40540540540541,8.10810810810811,56.7567567567568,29.7297297297297
151460000191,19,2,0,0,1,1,1,2,2,2,0,0,1,0,5,1,1,10.5263157894737,5.26315789473684,47.3684210526316,36.8421052631579
151460000192,49,6,1,0,2,2,3,1,4,2,4,3,3,4,2,2,10,12.2448979591837,6.12244897959184,53.0612244897959,28.5714285714286
151460000193,6,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0,0,66.6666666666667,33.3333333333333
151460000194,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,16.6666666666667,83.3333333333333
151460000195,93,2,8,6,4,3,0,5,4,7,11,7,1,10,9,8,8,2.1505376344086,19.3548387096774,51.6129032258065,26.8817204301075
151460000196,233,12,6,6,7,10,14,7,11,16,8,15,17,22,28,19,35,5.15021459227468,8.15450643776824,51.5021459227468,35.1931330472103
151460000197,50,3,2,1,3,1,1,1,5,4,7,2,3,4,4,5,4,6,12,56,26
151460000198,72,2,3,0,1,4,6,7,6,2,4,4,7,5,2,5,14,2.77777777777778,5.55555555555556,62.5,29.1666666666667
151460000199,47,1,4,5,2,1,4,1,4,8,3,2,1,2,1,1,7,2.12765957446808,23.4042553191489,55.3191489361702,19.1489361702128
151460000200,115,4,3,7,4,3,6,8,6,9,8,9,8,10,7,6,17,3.47826086956522,12.1739130434783,58.2608695652174,26.0869565217391
151460000201,225,4,10,12,14,7,5,12,10,16,26,18,10,17,23,14,27,1.77777777777778,16,53.7777777777778,28.4444444444444
151460000202,62,1,5,5,2,5,5,7,3,4,9,6,1,3,0,3,3,1.61290322580645,19.3548387096774,69.3548387096774,9.67741935483871
151460000203,142,11,6,6,9,6,2,5,9,15,8,11,8,8,7,13,18,7.74647887323944,14.7887323943662,50.7042253521127,26.7605633802817
151460000204,136,4,8,7,5,8,5,11,8,11,16,8,11,6,10,6,12,2.94117647058823,14.7058823529412,61.7647058823529,20.5882352941176
151460000205,91,10,6,1,1,1,2,6,12,6,7,3,4,5,7,7,13,10.989010989011,8.79120879120879,50.5494505494506,29.6703296703297
151460000206,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0
151460000207,56,1,3,4,1,6,4,2,6,4,7,7,0,3,1,1,6,1.78571428571429,14.2857142857143,69.6428571428571,14.2857142857143
151460000208,70,2,2,3,2,0,4,5,5,9,6,4,4,1,7,3,13,2.85714285714286,10,54.2857142857143,32.8571428571429
151460000209,188,9,10,8,7,7,4,5,11,14,13,16,13,12,21,17,21,4.78723404255319,13.2978723404255,50.531914893617,31.3829787234043
151460000210,178,11,8,10,11,7,5,15,8,11,17,11,16,9,16,9,14,6.17977528089888,16.2921348314607,55.6179775280899,21.9101123595506
151460000211,211,13,10,14,9,4,8,12,18,23,25,15,13,10,9,11,17,6.16113744075829,15.6398104265403,60.6635071090047,17.5355450236967
