SEZ2011,P1,ST1,ST2,%ST,FST,%MST,ST9,ST10,ST11,ST12,ST13,%STCONTEU,%STCONTAF,%STCONTAM,%STCONTAS,%STCONTOC,PF1,DMFAM,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,RES1,RES2,RES3,ST1,ST2,ST3,ST/RES1,ST/RES2,ST/RES3
151460000669.00000000,309,42,23,13.5922330097087,19,45.2380952380952,9,5,16,12,0,21.4285714285714,11.9047619047619,38.0952380952381,28.5714285714286,0,159,1.94339622641509,15,12,9,12,14,20,27,30,36,19,28,17,11,18,19,22,82,140,87,13,28,1,15.8536585365854,20,1.14942528735632
151460000670.00000000,353,86,40,24.3626062322946,46,53.4883720930233,5,1,10,70,0,5.81395348837209,1.16279069767442,11.6279069767442,81.3953488372093,0,199,1.77386934673367,21,12,10,14,19,20,21,50,32,27,24,22,25,13,11,32,96,154,103,43,37,6,44.7916666666667,24.025974025974,5.8252427184466
151460000671.00000000,243,96,46,39.5061728395062,50,52.0833333333333,3,0,4,89,0,3.125,0,4.16666666666667,92.7083333333333,0,112,2.16964285714286,22,13,12,9,11,20,25,22,24,25,13,13,9,8,11,6,87,109,47,42,41,13,48.2758620689655,37.6146788990826,27.6595744680851
151460000672.00000000,196,42,14,21.4285714285714,28,66.6666666666667,4,0,1,37,0,9.52380952380952,0,2.38095238095238,88.0952380952381,0,108,1.81481481481482,12,6,8,6,4,18,18,17,22,19,15,10,7,11,7,16,54,91,51,10,28,4,18.5185185185185,30.7692307692308,7.84313725490196
151460000673.00000000,206,30,18,14.5631067961165,12,40,0,0,6,24,0,0,0,20,80,0,119,1.73109243697479,7,9,12,2,6,13,22,20,24,16,12,12,13,16,5,17,49,94,63,11,15,4,22.4489795918367,15.9574468085106,6.34920634920635
151460000674.00000000,248,35,17,14.1129032258065,18,51.4285714285714,4,1,4,26,0,11.4285714285714,2.85714285714286,11.4285714285714,74.2857142857143,0,125,1.984,14,14,9,7,11,8,17,35,24,22,22,6,12,17,12,18,63,120,65,15,20,0,23.8095238095238,16.6666666666667,0
151460000675.00000000,173,40,23,23.121387283237,17,42.5,1,4,1,34,0,2.5,10,2.5,85,0,95,1.82105263157895,5,10,6,9,12,12,11,15,20,23,14,10,8,5,4,9,54,83,36,12,22,6,22.2222222222222,26.5060240963855,16.6666666666667
151460000676.00000000,362,145,71,40.0552486187845,74,51.0344827586207,18,0,6,121,0,12.4137931034483,0,4.13793103448276,83.448275862069,0,179,2.02234636871508,20,23,18,9,26,30,25,26,35,31,27,25,14,13,12,28,126,144,92,76,60,9,60.3174603174603,41.6666666666667,9.78260869565217
151460000677.00000000,38,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18,2.11111111111111,3,1,5,1,0,2,5,3,3,5,2,0,0,0,6,2,12,18,8,0,0,0,0,0,0
151460000678.00000000,123,33,14,26.8292682926829,19,57.5757575757576,6,0,12,15,0,18.1818181818182,0,36.3636363636364,45.4545454545455,0,65,1.89230769230769,9,4,3,3,7,10,12,10,14,10,4,6,8,5,11,7,36,50,37,13,19,1,36.1111111111111,38,2.7027027027027
151460000679.00000000,285,24,11,8.42105263157895,13,54.1666666666667,7,0,6,11,0,29.1666666666667,0,25,45.8333333333333,0,151,1.88741721854305,18,20,6,5,13,15,12,20,39,28,15,12,17,16,15,34,77,114,94,10,9,5,12.987012987013,7.89473684210526,5.31914893617021
151460000680.00000000,242,22,8,9.09090909090909,14,63.6363636363636,7,0,1,14,0,31.8181818181818,0,4.54545454545455,63.6363636363636,0,119,2.03361344537815,6,10,14,12,13,16,7,18,22,16,17,12,18,12,23,26,71,80,91,7,12,3,9.85915492957746,15,3.2967032967033
151460000681.00000000,252,29,9,11.5079365079365,20,68.9655172413793,6,0,4,19,0,20.6896551724138,0,13.7931034482759,65.5172413793104,0,128,1.96875,10,16,8,9,8,11,12,26,14,22,14,16,14,21,11,40,62,88,102,7,18,4,11.2903225806452,20.4545454545455,3.92156862745098
151460000682.00000000,139,11,4,7.9136690647482,7,63.6363636363636,3,0,2,6,0,27.2727272727273,0,18.1818181818182,54.5454545454546,0,72,1.93055555555556,9,8,7,5,4,3,7,9,15,18,11,5,12,6,9,11,36,60,43,0,9,2,0,15,4.65116279069768
151460000683.00000000,258,25,9,9.68992248062015,16,64,9,0,8,8,0,36,0,32,32,0,131,1.96946564885496,9,12,17,15,11,7,19,20,24,32,18,12,14,5,9,34,71,113,74,7,18,0,9.85915492957746,15.929203539823,0
151460000684.00000000,108,6,1,5.55555555555556,5,83.3333333333333,2,1,2,1,0,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,0,65,1.66153846153846,5,6,5,0,4,7,7,15,13,9,5,9,10,4,3,6,27,49,32,1,4,1,3.7037037037037,8.16326530612245,3.125
151460000685.00000000,206,7,3,3.39805825242718,4,57.1428571428571,4,1,1,1,0,57.1428571428571,14.2857142857143,14.2857142857143,14.2857142857143,0,102,2.01960784313725,16,12,6,5,3,6,9,30,23,18,9,12,10,4,17,26,48,89,69,0,7,0,0,7.86516853932584,0
151460000686.00000000,265,13,7,4.90566037735849,6,46.1538461538462,4,0,1,8,0,30.7692307692308,0,7.69230769230769,61.5384615384615,0,129,2.05426356589147,21,18,13,6,9,14,8,19,28,19,18,10,10,17,26,29,81,92,92,7,4,2,8.64197530864197,4.34782608695652,2.17391304347826
151460000687.00000000,444,87,40,19.5945945945946,47,54.0229885057471,8,0,9,70,0,9.19540229885057,0,10.3448275862069,80.4597701149425,0,235,1.88936170212766,23,19,19,19,15,29,34,42,44,38,27,27,28,27,17,36,124,185,135,36,43,8,29.0322580645161,23.2432432432432,5.92592592592593
151460000688.00000000,171,19,7,11.1111111111111,12,63.1578947368421,2,0,0,17,0,10.5263157894737,0,0,89.4736842105263,0,80,2.1375,9,9,12,12,7,8,8,10,21,20,15,10,5,6,11,8,57,74,40,10,9,0,17.5438596491228,12.1621621621622,0
151460000689.00000000,270,23,9,8.51851851851852,14,60.8695652173913,8,0,7,8,0,34.7826086956522,0,30.4347826086957,34.7826086956522,0,117,2.30769230769231,21,17,16,8,11,10,15,20,21,26,21,18,14,12,11,29,83,103,84,6,14,3,7.2289156626506,13.5922330097087,3.57142857142857
151460000690.00000000,83,15,10,18.0722891566265,5,33.3333333333333,2,0,7,6,0,13.3333333333333,0,46.6666666666667,40,0,44,1.88636363636364,5,2,3,4,2,8,10,10,10,7,8,4,1,2,2,5,24,45,14,4,10,1,16.6666666666667,22.2222222222222,7.14285714285714
151460000691.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000692.00000000,121,6,2,4.95867768595041,4,66.6666666666667,2,0,2,2,0,33.3333333333333,0,33.3333333333333,33.3333333333333,0,53,2.28301886792453,10,7,6,1,6,6,11,14,11,9,7,2,10,6,6,9,36,52,33,2,4,0,5.55555555555556,7.69230769230769,0
151460000693.00000000,184,59,26,32.0652173913043,33,55.9322033898305,2,25,2,30,0,3.38983050847458,42.3728813559322,3.38983050847458,50.8474576271186,0,94,1.95744680851064,11,11,9,6,7,9,19,19,21,14,13,12,7,8,8,10,53,86,45,19,34,6,35.8490566037736,39.5348837209302,13.3333333333333
151460000694.00000000,401,90,47,22.4438902743142,43,47.7777777777778,8,0,2,80,0,8.88888888888889,0,2.22222222222222,88.8888888888889,0,204,1.9656862745098,21,16,23,16,18,31,33,44,32,34,22,24,18,22,20,27,125,165,111,44,40,6,35.2,24.2424242424242,5.40540540540541
151460000695.00000000,327,99,43,30.2752293577982,56,56.5656565656566,4,5,14,76,0,4.04040404040404,5.05050505050505,14.1414141414141,76.7676767676768,0,165,1.98181818181818,18,11,16,9,23,22,27,30,30,25,26,21,14,13,14,28,99,138,90,40,50,9,40.4040404040404,36.231884057971,10
151460000696.00000000,272,61,22,22.4264705882353,39,63.9344262295082,6,1,3,50,0,9.83606557377049,1.63934426229508,4.91803278688525,81.9672131147541,0,127,2.14173228346457,16,9,7,14,14,16,20,20,23,21,27,16,14,16,10,29,76,111,85,26,29,6,34.2105263157895,26.1261261261261,7.05882352941176
151460000697.00000000,229,12,3,5.24017467248908,9,75,8,0,2,2,0,66.6666666666667,0,16.6666666666667,16.6666666666667,0,111,2.06306306306306,4,11,7,8,9,15,14,11,15,20,13,10,23,22,15,32,54,73,102,2,7,3,3.7037037037037,9.58904109589041,2.94117647058824
151460000698.00000000,142,20,11,14.0845070422535,9,45,2,0,4,14,0,10,0,20,70,0,67,2.11940298507463,9,4,3,3,9,8,10,6,8,8,11,16,5,5,11,26,36,43,63,8,11,1,22.2222222222222,25.5813953488372,1.58730158730159
151460000699.00000000,3,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,#DIV/0!
151460000700.00000000,181,19,6,10.4972375690608,13,68.421052631579,5,4,7,3,0,26.3157894736842,21.0526315789474,36.8421052631579,15.7894736842105,0,93,1.94623655913979,6,4,4,10,10,8,12,10,17,11,16,18,15,12,8,20,42,66,73,3,16,0,7.14285714285714,24.2424242424242,0
151460000701.00000000,351,83,44,23.6467236467236,39,46.9879518072289,15,6,24,38,0,18.0722891566265,7.2289156626506,28.9156626506024,45.7831325301205,0,204,1.72058823529412,9,14,14,10,8,18,43,41,32,31,17,25,18,17,16,38,73,164,114,26,54,3,35.6164383561644,32.9268292682927,2.63157894736842
151460000702.00000000,40,4,1,10,3,75,1,0,2,1,0,25,0,50,25,0,22,1.81818181818182,2,2,1,0,2,1,1,3,3,4,4,2,4,2,0,9,8,15,17,0,4,0,0,26.6666666666667,0
151460000703.00000000,42,3,0,7.14285714285714,3,100,1,0,2,0,0,33.3333333333333,0,66.6666666666667,0,0,17,2.47058823529412,1,2,3,3,1,2,6,2,4,2,2,3,0,5,1,5,12,16,14,1,2,0,8.33333333333333,12.5,0
151460000704.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000705.00000000,172,27,10,15.6976744186047,17,62.962962962963,6,0,11,10,0,22.2222222222222,0,40.7407407407407,37.037037037037,0,61,2.81967213114754,6,9,8,10,6,6,8,12,15,14,9,12,10,8,14,25,45,58,69,13,12,2,28.8888888888889,20.6896551724138,2.89855072463768
151460000706.00000000,252,25,9,9.92063492063492,16,64,11,1,7,6,0,44,4,28,24,0,134,1.88059701492537,14,12,9,5,11,19,25,24,17,12,15,18,14,7,12,38,70,93,89,8,15,2,11.4285714285714,16.1290322580645,2.24719101123596
151460000707.00000000,206,14,5,6.79611650485437,9,64.2857142857143,8,3,2,1,0,57.1428571428571,21.4285714285714,14.2857142857143,7.14285714285714,0,59,3.49152542372881,2,10,14,12,1,7,5,8,14,14,18,7,16,16,25,37,46,59,101,3,7,4,6.52173913043478,11.864406779661,3.96039603960396
151460000708.00000000,45,3,0,6.66666666666667,3,100,3,0,0,0,0,100,0,0,0,0,20,2.25,2,1,2,3,3,2,2,1,1,3,2,4,4,0,2,13,13,9,23,2,0,1,15.3846153846154,0,4.34782608695652
151460000709.00000000,20,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,11,1.81818181818182,0,0,1,1,1,0,0,2,0,2,1,2,3,3,0,4,3,5,12,0,0,0,0,0,0
151460000710.00000000,71,1,1,1.40845070422535,0,0,1,0,0,0,0,100,0,0,0,0,34,2.08823529411765,4,2,1,2,3,2,4,6,4,10,3,1,6,0,8,15,14,27,30,0,0,1,0,0,3.33333333333333
151460000711.00000000,48,3,1,6.25,2,66.6666666666667,1,1,0,1,0,33.3333333333333,33.3333333333333,0,33.3333333333333,0,24,2,0,2,0,1,2,1,1,3,1,2,3,9,5,1,3,14,6,10,32,0,3,0,0,30,0
151460000712.00000000,74,13,4,17.5675675675676,9,69.2307692307692,1,0,2,10,0,7.69230769230769,0,15.3846153846154,76.9230769230769,0,33,2.24242424242424,7,2,6,1,2,6,4,5,9,6,3,2,4,6,4,7,24,27,23,6,7,0,25,25.9259259259259,0
151460000713.00000000,49,4,2,8.16326530612245,2,50,4,0,0,0,0,100,0,0,0,0,22,2.22727272727273,0,0,1,4,3,2,2,2,5,4,1,8,7,2,3,5,10,14,25,0,4,0,0,28.5714285714286,0
151460000714.00000000,30,1,0,3.33333333333333,1,100,0,0,0,1,0,0,0,0,100,0,16,1.875,0,0,1,3,2,0,1,2,1,0,3,6,0,4,2,5,6,7,17,0,1,0,0,14.2857142857143,0
151460000715.00000000,65,21,14,32.3076923076923,7,33.3333333333333,0,0,0,21,0,0,0,0,100,0,30,2.16666666666667,2,4,0,1,1,9,8,5,4,4,3,6,3,5,5,5,17,24,24,9,6,6,52.9411764705882,25,25
151460000716.00000000,106,22,7,20.7547169811321,15,68.1818181818182,2,0,5,15,0,9.09090909090909,0,22.7272727272727,68.1818181818182,0,49,2.16326530612245,1,9,8,5,2,9,3,6,7,14,12,7,7,7,5,4,34,42,30,8,12,2,23.5294117647059,28.5714285714286,6.66666666666667
151460000717.00000000,38,1,0,2.63157894736842,1,100,1,0,0,0,0,100,0,0,0,0,17,2.23529411764706,0,0,0,1,3,4,1,3,0,1,6,3,5,6,1,4,8,11,19,0,0,1,0,0,5.26315789473684
151460000718.00000000,53,4,1,7.54716981132076,3,75,2,0,0,2,0,50,0,0,50,0,24,2.20833333333333,0,0,0,2,3,2,2,5,0,2,9,8,9,2,3,6,7,18,28,0,2,2,0,11.1111111111111,7.14285714285714
151460000719.00000000,42,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,26,1.61538461538462,0,1,0,0,2,3,1,1,2,5,2,2,3,7,3,10,6,11,25,0,0,0,0,0,0
151460000720.00000000,31,2,0,6.45161290322581,2,100,2,0,0,0,0,100,0,0,0,0,17,1.82352941176471,1,0,1,0,1,2,2,0,2,4,0,0,7,3,4,4,5,8,18,1,0,1,20,0,5.55555555555556
151460000721.00000000,11,5,1,45.4545454545455,4,80,0,0,2,3,0,0,0,40,60,0,8,1.375,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,4,3,2,6,3,2,0,100,100,0
151460000723.00000000,38,4,2,10.5263157894737,2,50,4,0,0,0,0,100,0,0,0,0,21,1.80952380952381,1,2,1,3,0,2,5,3,6,2,2,1,3,3,3,1,9,18,11,0,2,2,0,11.1111111111111,18.1818181818182
151460000724.00000000,299,25,9,8.36120401337793,16,64,5,7,9,4,0,20,28,36,16,0,134,2.23134328358209,9,16,12,19,16,15,11,16,19,22,33,9,11,16,22,53,87,101,111,12,13,0,13.7931034482759,12.8712871287129,0
151460000725.00000000,314,16,7,5.09554140127389,9,56.25,7,1,7,1,0,43.75,6.25,43.75,6.25,0,142,2.2112676056338,21,22,14,14,7,8,15,21,29,32,21,12,13,15,24,46,86,118,110,6,9,1,6.97674418604651,7.6271186440678,0.909090909090909
151460000726.00000000,19,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10,1.9,3,0,0,0,1,0,0,2,1,1,1,2,2,2,1,3,4,5,10,0,0,0,0,0,0
151460000727.00000000,88,14,6,15.9090909090909,8,57.1428571428571,9,1,1,3,0,64.2857142857143,7.14285714285714,7.14285714285714,21.4285714285714,0,48,1.83333333333333,2,5,5,3,3,6,5,4,12,6,8,5,9,2,3,10,24,35,29,4,9,1,16.6666666666667,25.7142857142857,3.44827586206897
151460000728.00000000,241,28,13,11.6182572614108,15,53.5714285714286,5,0,11,12,0,17.8571428571429,0,39.2857142857143,42.8571428571429,0,127,1.89763779527559,8,16,11,4,9,11,16,11,16,19,13,22,17,21,12,35,59,75,107,10,18,0,16.9491525423729,24,0
151460000729.00000000,282,25,13,8.86524822695036,12,48,10,4,3,8,0,40,16,12,32,0,147,1.91836734693878,14,5,6,11,8,18,18,20,23,20,14,15,20,24,17,49,62,95,125,11,12,2,17.741935483871,12.6315789473684,1.6
151460000730.00000000,327,81,40,24.7706422018349,41,50.6172839506173,8,11,22,40,0,9.87654320987654,13.5802469135802,27.1604938271605,49.3827160493827,0,168,1.94642857142857,22,11,13,7,16,14,25,25,42,35,18,23,26,10,12,28,83,145,99,30,44,7,36.144578313253,30.3448275862069,7.07070707070707
151460000731.00000000,122,9,2,7.37704918032787,7,77.7777777777778,4,0,0,5,0,44.4444444444444,0,0,55.5555555555556,0,65,1.87692307692308,3,3,6,4,3,5,6,7,8,6,15,9,9,11,7,20,24,42,56,2,6,1,8.33333333333333,14.2857142857143,1.78571428571429
151460000732.00000000,162,15,7,9.25925925925926,8,53.3333333333333,3,8,4,0,0,20,53.3333333333333,26.6666666666667,0,0,78,2.07692307692308,11,11,7,7,4,7,3,16,7,11,11,8,17,8,9,25,47,48,67,8,6,1,17.0212765957447,12.5,1.49253731343284
151460000733.00000000,2,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,#DIV/0!
151460000734.00000000,135,34,22,25.1851851851852,12,35.2941176470588,3,0,19,12,0,8.82352941176471,0,55.8823529411765,35.2941176470588,0,75,1.8,2,3,6,6,7,12,13,13,11,14,7,9,6,7,5,14,36,58,41,13,19,2,36.1111111111111,32.7586206896552,4.87804878048781
151460000735.00000000,45,9,5,20,4,44.4444444444444,1,0,8,0,0,11.1111111111111,0,88.8888888888889,0,0,18,2.5,3,4,3,1,0,2,9,3,1,4,1,0,6,3,2,3,13,18,14,3,6,0,23.0769230769231,33.3333333333333,0
151460000736.00000000,36,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,2.11764705882353,3,0,5,1,0,0,2,3,3,6,0,1,3,4,1,4,9,14,13,0,0,0,0,0,0
151460000737.00000000,107,11,4,10.2803738317757,7,63.6363636363636,3,0,1,7,0,27.2727272727273,0,9.09090909090909,63.6363636363636,0,52,2.05769230769231,2,10,2,2,5,3,5,5,12,7,16,8,8,4,4,14,24,45,38,2,6,3,8.33333333333333,13.3333333333333,7.89473684210526
151460000738.00000000,49,1,1,2.04081632653061,0,0,0,0,0,1,0,0,0,0,100,0,24,2.04166666666667,3,4,2,1,2,1,0,5,4,4,5,6,1,0,2,9,13,18,18,1,0,0,7.69230769230769,0,0
151460000739.00000000,19,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,12,1.58333333333333,1,0,1,0,0,0,0,0,1,0,0,0,1,5,1,9,2,1,16,0,0,0,0,0,0
151460000740.00000000,141,9,6,6.38297872340426,3,33.3333333333333,1,0,2,6,0,11.1111111111111,0,22.2222222222222,66.6666666666667,0,72,1.95833333333333,2,6,6,8,4,8,8,8,7,8,12,9,10,10,12,23,34,43,64,3,6,0,8.82352941176471,13.953488372093,0
151460000741.00000000,165,3,1,1.81818181818182,2,66.6666666666667,1,0,0,2,0,33.3333333333333,0,0,66.6666666666667,0,71,2.32394366197183,6,3,13,12,10,7,4,8,9,11,14,11,13,11,12,21,51,46,68,0,1,2,0,2.17391304347826,2.94117647058824
151460000742.00000000,54,1,0,1.85185185185185,1,100,1,0,0,0,0,100,0,0,0,0,22,2.45454545454545,0,4,5,3,2,2,2,2,3,7,1,3,5,2,6,7,16,15,23,0,1,0,0,6.66666666666667,0
151460000743.00000000,27,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,13,2.07692307692308,1,1,0,0,1,2,0,1,2,0,4,4,3,1,0,7,5,7,15,0,0,0,0,0,0
151460000744.00000000,81,3,0,3.7037037037037,3,100,0,0,3,0,0,0,0,100,0,0,38,2.13157894736842,5,5,7,2,3,1,2,7,3,14,2,7,1,8,5,9,23,28,30,1,1,1,4.34782608695652,3.57142857142857,3.33333333333333
151460000745.00000000,33,11,4,33.3333333333333,7,63.6363636363636,3,0,8,0,0,27.2727272727273,0,72.7272727272727,0,0,17,1.94117647058824,1,0,1,1,4,3,2,1,1,1,5,4,2,3,0,4,10,10,13,3,7,1,30,70,7.69230769230769
151460000746.00000000,4,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,2,0,0,0,#DIV/0!,0,0
151460000747.00000000,253,59,28,23.3201581027668,31,52.5423728813559,4,2,13,40,0,6.77966101694915,3.38983050847458,22.0338983050847,67.7966101694915,0,140,1.80714285714286,11,7,5,9,8,15,20,19,24,18,10,18,17,20,14,38,55,91,107,23,32,4,41.8181818181818,35.1648351648352,3.73831775700935
151460000748.00000000,372,84,34,22.5806451612903,50,59.5238095238095,5,8,20,51,0,5.95238095238095,9.52380952380952,23.8095238095238,60.7142857142857,0,173,2.15028901734104,24,13,14,20,16,22,22,33,32,19,32,31,26,11,19,38,109,138,125,34,39,11,31.1926605504587,28.2608695652174,8.8
151460000749.00000000,334,39,18,11.6766467065868,21,53.8461538461539,12,1,1,24,0,30.7692307692308,2.56410256410256,2.56410256410256,61.5384615384615,0,172,1.94186046511628,7,8,14,14,17,21,19,20,33,33,24,17,23,15,24,45,81,129,124,12,21,6,14.8148148148148,16.2790697674419,4.83870967741936
151460000750.00000000,66,2,0,3.03030303030303,2,100,0,0,2,0,0,0,0,100,0,0,25,2.64,2,6,5,4,9,1,1,0,5,4,6,6,7,5,1,4,27,16,23,2,0,0,7.40740740740741,0,0
151460000751.00000000,42,11,3,26.1904761904762,8,72.7272727272727,5,0,1,5,0,45.4545454545455,0,9.09090909090909,45.4545454545455,0,22,1.90909090909091,1,1,2,2,1,3,3,2,3,4,2,2,5,4,2,5,10,14,18,3,5,3,30,35.7142857142857,16.6666666666667
151460000752.00000000,159,7,4,4.40251572327044,3,42.8571428571429,3,0,1,3,0,42.8571428571429,0,14.2857142857143,42.8571428571429,0,79,2.0126582278481,6,4,5,8,8,4,9,8,12,14,14,10,14,11,8,24,35,57,67,0,5,2,0,8.7719298245614,2.98507462686567
151460000753.00000000,42,1,0,2.38095238095238,1,100,0,0,1,0,0,0,0,100,0,0,25,1.68,2,2,0,1,0,2,2,5,2,3,2,3,2,5,5,6,7,14,21,1,0,0,14.2857142857143,0,0
151460000754.00000000,37,5,2,13.5135135135135,3,60,1,0,0,4,0,20,0,0,80,0,18,2.05555555555556,0,1,4,2,0,2,3,4,3,2,2,2,2,1,3,6,9,14,14,2,2,1,22.2222222222222,14.2857142857143,7.14285714285714
151460000755.00000000,10,1,1,10,0,0,1,0,0,0,0,100,0,0,0,0,4,2.5,1,0,0,0,1,1,2,0,2,0,1,1,0,0,0,1,3,5,2,0,1,0,0,20,0
151460000756.00000000,33,4,1,12.1212121212121,3,75,1,2,0,1,0,25,50,0,25,0,14,2.35714285714286,0,0,2,2,4,3,0,2,1,4,4,1,3,2,1,4,11,11,11,0,2,2,0,18.1818181818182,18.1818181818182
151460000757.00000000,208,13,4,6.25,9,69.2307692307692,2,1,10,0,0,15.3846153846154,7.69230769230769,76.9230769230769,0,0,106,1.9622641509434,6,10,6,7,12,5,14,20,22,12,23,15,13,10,8,25,46,91,71,2,10,1,4.34782608695652,10.989010989011,1.40845070422535
151460000758.00000000,32,2,0,6.25,2,100,0,0,2,0,0,0,0,100,0,0,15,2.13333333333333,0,0,2,1,3,1,3,1,0,4,3,3,3,1,1,6,7,11,14,1,1,0,14.2857142857143,9.09090909090909,0
151460000759.00000000,30,8,3,26.6666666666667,5,62.5,1,0,1,6,0,12.5,0,12.5,75,0,17,1.76470588235294,1,2,2,3,1,3,0,4,4,0,1,4,2,0,1,2,12,9,9,4,4,0,33.3333333333333,44.4444444444444,0
151460000760.00000000,281,44,24,15.6583629893238,20,45.4545454545455,10,2,8,24,0,22.7272727272727,4.54545454545455,18.1818181818182,54.5454545454546,0,165,1.7030303030303,11,3,4,7,12,13,16,23,20,19,17,14,31,21,22,48,50,95,136,14,28,2,28,29.4736842105263,1.47058823529412
151460000761.00000000,505,79,41,15.6435643564356,38,48.1012658227848,6,14,25,34,0,7.59493670886076,17.7215189873418,31.6455696202532,43.0379746835443,0,265,1.90566037735849,16,6,14,15,25,33,35,39,34,47,46,31,25,25,31,83,109,201,195,27,47,5,24.7706422018349,23.3830845771144,2.56410256410256
151460000762.00000000,230,79,45,34.3478260869565,34,43.0379746835443,2,11,23,43,0,2.53164556962025,13.9240506329114,29.1139240506329,54.4303797468354,0,124,1.85483870967742,16,6,9,5,10,14,18,24,16,16,16,15,9,13,15,28,60,90,80,37,35,7,61.6666666666667,38.8888888888889,8.75
151460000763.00000000,291,57,28,19.5876288659794,29,50.8771929824561,6,9,5,37,0,10.5263157894737,15.7894736842105,8.7719298245614,64.9122807017544,0,143,2.03496503496503,12,8,6,16,13,13,15,16,20,20,30,23,14,21,21,43,68,101,122,23,26,8,33.8235294117647,25.7425742574257,6.55737704918033
151460000764.00000000,270,44,18,16.2962962962963,26,59.0909090909091,8,0,10,26,0,18.1818181818182,0,22.7272727272727,59.0909090909091,0,137,1.97080291970803,8,8,10,13,10,17,22,14,18,18,23,20,23,15,21,30,66,95,109,17,25,2,25.7575757575758,26.3157894736842,1.8348623853211
151460000765.00000000,263,64,36,24.3346007604563,28,43.75,3,18,19,24,0,4.6875,28.125,29.6875,37.5,0,145,1.81379310344828,10,13,6,8,7,19,22,27,30,26,18,17,14,16,7,23,63,123,77,24,39,1,38.0952380952381,31.7073170731707,1.2987012987013
151460000766.00000000,54,1,1,1.85185185185185,0,0,1,0,0,0,0,100,0,0,0,0,26,2.07692307692308,6,3,0,0,0,1,3,10,5,3,3,3,4,5,5,3,10,24,20,0,1,0,0,4.16666666666667,0
151460000767.00000000,23,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9,2.55555555555556,4,0,0,2,0,2,0,2,4,0,2,0,1,1,1,4,8,8,7,0,0,0,0,0,0
151460000768.00000000,82,13,6,15.8536585365854,7,53.8461538461539,7,0,3,3,0,53.8461538461539,0,23.0769230769231,23.0769230769231,0,34,2.41176470588235,6,6,4,3,2,4,2,4,10,6,5,4,8,3,5,10,25,27,30,5,7,1,20,25.9259259259259,3.33333333333333
151460000769.00000000,9,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,4.5,0,0,2,0,0,1,2,0,2,0,0,0,1,1,0,0,3,4,2,0,0,0,0,0,0
151460000770.00000000,31,8,5,25.8064516129032,3,37.5,1,0,5,2,0,12.5,0,62.5,25,0,16,1.9375,0,2,2,1,0,3,4,1,0,2,2,3,1,0,4,6,8,9,14,4,3,1,50,33.3333333333333,7.14285714285714
