SEZ2011,P1,ST1,ST2,%ST,FST,%MST,ST9,ST10,ST11,ST12,ST13,%STCONTEU,%STCONTAF,%STCONTAM,%STCONTAS,%STCONTOC,PF1,DMFAM,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,RES1,RES2,RES3,ST1,ST2,ST3,ST/RES1,ST/RES2,ST/RES3
151460000217.00000000,156,16,3,10.2564102564103,13,81.25,4,2,2,8,0,25,12.5,12.5,50,0,85,1.83529411764706,6,7,9,8,8,5,10,13,15,10,13,9,10,7,12,14,43,61,52,4,11,1,9.30232558139535,18.0327868852459,1.92307692307692
151460000218.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000219.00000000,85,14,7,16.4705882352941,7,50,1,7,2,4,0,7.14285714285714,50,14.2857142857143,28.5714285714286,0,41,2.07317073170732,3,5,6,3,5,2,0,7,7,11,8,1,6,4,6,11,24,33,28,6,7,1,25,21.2121212121212,3.57142857142857
151460000220.00000000,82,5,3,6.09756097560976,2,40,1,1,2,1,0,20,20,40,20,0,45,1.82222222222222,0,1,4,4,2,4,5,2,7,8,8,3,6,9,5,14,15,30,37,0,5,0,0,16.6666666666667,0
151460000221.00000000,8,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7,1.14285714285714,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,2,0,3,5,0,0,0,#DIV/0!,0,0
151460000222.00000000,92,11,6,11.9565217391304,5,45.4545454545455,2,1,1,7,0,18.1818181818182,9.09090909090909,9.09090909090909,63.6363636363636,0,53,1.73584905660377,5,6,1,2,4,6,7,8,12,10,4,5,5,2,6,9,24,41,27,3,6,2,12.5,14.6341463414634,7.40740740740741
151460000223.00000000,27,2,1,7.40740740740741,1,50,0,0,0,2,0,0,0,0,100,0,17,1.58823529411765,2,0,0,1,1,1,1,2,2,1,2,2,2,1,4,5,5,8,14,0,0,2,0,0,14.2857142857143
151460000224.00000000,24,7,2,29.1666666666667,5,71.4285714285714,0,0,0,7,0,0,0,0,100,0,11,2.18181818181818,1,0,4,2,0,0,0,2,2,3,1,2,1,3,1,2,7,8,9,3,4,0,42.8571428571429,50,0
151460000225.00000000,245,12,3,4.89795918367347,9,75,4,0,3,5,0,33.3333333333333,0,25,41.6666666666667,0,114,2.14912280701754,10,15,8,10,16,11,12,18,20,17,19,19,21,6,12,31,70,86,89,3,6,3,4.28571428571429,6.97674418604651,3.37078651685393
151460000226.00000000,106,12,5,11.3207547169811,7,58.3333333333333,7,0,2,3,0,58.3333333333333,0,16.6666666666667,25,0,67,1.58208955223881,2,6,3,1,2,6,5,8,11,9,6,7,5,13,6,16,20,39,47,0,8,4,0,20.5128205128205,8.51063829787234
151460000227.00000000,48,1,0,2.08333333333333,1,100,1,0,0,0,0,100,0,0,0,0,26,1.84615384615385,2,4,1,1,2,0,3,4,6,5,1,1,5,3,4,6,10,19,19,0,1,0,0,5.26315789473684,0
151460000228.00000000,107,10,3,9.34579439252336,7,70,4,0,1,5,0,40,0,10,50,0,50,2.14,3,9,7,6,5,1,5,8,12,8,4,9,8,7,4,11,31,37,39,2,7,1,6.45161290322581,18.9189189189189,2.56410256410256
151460000229.00000000,169,17,10,10.0591715976331,7,41.1764705882353,10,0,1,6,0,58.8235294117647,0,5.88235294117647,35.2941176470588,0,93,1.81720430107527,6,8,6,3,9,16,12,15,12,16,10,9,11,19,7,10,48,65,56,9,8,0,18.75,12.3076923076923,0
151460000230.00000000,102,14,4,13.7254901960784,10,71.4285714285714,3,2,1,8,0,21.4285714285714,14.2857142857143,7.14285714285714,57.1428571428571,0,50,2.04,2,8,7,3,0,3,4,7,18,7,4,8,6,8,6,11,23,40,39,1,10,3,4.34782608695652,25,7.69230769230769
151460000231.00000000,2,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,#DIV/0!,0,#DIV/0!
151460000232.00000000,176,12,3,6.81818181818182,9,75,5,0,1,6,0,41.6666666666667,0,8.33333333333333,50,0,76,2.31578947368421,6,13,11,9,8,10,11,9,20,8,11,14,13,8,5,20,57,59,60,1,10,1,1.75438596491228,16.9491525423729,1.66666666666667
151460000233.00000000,26,3,1,11.5384615384615,2,66.6666666666667,1,0,2,0,0,33.3333333333333,0,66.6666666666667,0,0,18,1.44444444444444,1,0,0,0,2,1,2,5,2,1,2,4,0,3,2,1,4,12,10,0,2,1,0,16.6666666666667,10
151460000234.00000000,84,1,0,1.19047619047619,1,100,1,0,0,0,0,100,0,0,0,0,40,2.1,2,8,3,3,2,3,1,5,5,7,2,6,8,7,11,11,21,20,43,0,1,0,0,5,0
151460000235.00000000,104,9,3,8.65384615384615,6,66.6666666666667,4,0,1,4,0,44.4444444444444,0,11.1111111111111,44.4444444444444,0,53,1.9622641509434,6,8,3,2,4,4,5,7,7,7,8,4,11,8,3,17,27,34,43,2,5,2,7.40740740740741,14.7058823529412,4.65116279069768
